iter	Passed	Remaining
1216	42392	23791
1217	42425	23755
1218	42460	23720
1219	42491	23683
1220	42525	23648
1221	42558	23612
1222	42591	23576
1223	42625	23541
1224	42662	23508
1225	42696	23472
1226	42732	23438
1227	42766	23403
1228	42802	23369
1229	42838	23334
1230	42873	23300
1231	42908	23265
1232	42943	23230
1233	42981	23197
1234	43018	23164
1235	43053	23129
1236	43089	23095
1237	43125	23060
1238	43160	23025
1239	43194	22990
1240	43229	22955
1241	43263	22920
1242	43296	22884
1243	43331	22850
1244	43366	22815
1245	43400	22779
1246	43432	22743
1247	43467	22709
1248	43499	22672
1249	43532	22637
1250	43569	22603
1251	43605	22568
1252	43638	22533
1253	43673	22498
1254	43707	22463
1255	43740	22427
1256	43771	22390
1257	43802	22354
1258	43834	22317
1259	43868	22282
1260	43899	22245
1261	43931	22209
1262	43962	22172
1263	43993	22136
1264	44024	22099
1265	44056	22063
1266	44088	22026
1267	44119	21990
1268	44153	21954
1269	44185	21918
1270	44218	21882
1271	44249	21846
1272	44283	21811
1273	44316	21775
1274	44348	21739
1275	44380	21703
1276	44412	21667
1277	44444	21630
1278	44476	21594
1279	44507	21558
1280	44538	21521
1281	44571	21486
1282	44604	21450
1283	44635	21414
1284	44666	21377
1285	44698	21341
1286	44728	21304
1287	44760	21268
1288	44792	21232
1289	44825	21196
1290	44857	21160
1291	44889	21124
1292	44921	21088
1293	44953	21052
1294	44986	21017
1295	45018	20980
1296	45050	20944
1297	45082	20908
1298	45114	20872
1299	45146	20836
1300	45179	20801
1301	45214	20766
1302	45248	20731
1303	45282	20696
1304	45315	20660
1305	45346	20624
1306	45380	20589
1307	45411	20553
1308	45443	20517
1309	45474	20480
1310	45507	20445
1311	45539	20409
1312	45571	20373
1313	45601	20336
1314	45633	20300
1315	45665	20264
1316	45699	20229
1317	45731	20194
1318	45764	20158
1319	45796	20122
1320	45826	20086
1321	45857	20049
1322	45889	20013
1323	45922	19978
1324	45954	19942
1325	45986	19906
1326	46018	19870
1327	46050	19835
1328	46082	19799
1329	46115	19763
1330	46146	19727
1331	46179	19692
1332	46209	19655
1333	46242	19620
1334	46275	19584
1335	46307	19548
1336	46339	19513
1337	46370	19477
1338	46402	19441
1339	46433	19405
1340	46466	19369
1341	46498	19334
1342	46529	19297
1343	46561	19262
1344	46593	19226
1345	46625	19190
1346	46658	19155
1347	46689	19119
1348	46721	19083
1349	46753	19047
1350	46785	19012
1351	46817	18976
1352	46849	18940
1353	46882	18905
1354	46913	18869
1355	46947	18834
1356	46979	18798
1357	47011	18762
1358	47043	18727
1359	47074	18691
1360	47107	18656
1361	47139	18620
1362	47172	18585
1363	47205	18550
1364	47241	18515
1365	47281	18483
1366	47317	18449
1367	47358	18417
1368	47397	18384
1369	47435	18351
1370	47474	18318
1371	47511	18284
1372	47548	18250
1373	47595	18220
1374	47628	18185
1375	47663	18150
1376	47699	18116
1377	47736	18082
1378	47772	18048
1379	47807	18014
1380	47842	17979
1381	47878	17945
1382	47914	17911
1383	47946	17876
1384	47992	17845
1385	48033	17813
1386	48070	17779
1387	48104	17744
1388	48136	17709
1389	48169	17673
1390	48200	17637
1391	48232	17602
1392	48265	17566
1393	48297	17531
1394	48330	17495
1395	48363	17460
1396	48394	17424
1397	48427	17389
1398	48459	17354
1399	48491	17318
1400	48524	17283
1401	48556	17247
1402	48589	17212
1403	48622	17177
1404	48658	17143
1405	48695	17109
1406	48727	17073
1407	48758	17037
1408	48790	17002
1409	48822	16966
1410	48854	16931
1411	48886	16895
1412	48917	16859
1413	48949	16824
1414	48980	16788
1415	49012	16752
1416	49046	16717
1417	49077	16682
1418	49110	16647
1419	49142	16611
1420	49175	16576
1421	49208	16541
1422	49245	16507
1423	49292	16477
1424	49329	16443
1425	49365	16409
1426	49400	16374
1427	49440	16341
1428	49476	16307
1429	49514	16274
1430	49551	16240
1431	49592	16207
1432	49634	16175
1433	49677	16143
1434	49723	16112
1435	49763	16079
1436	49802	16046
1437	49840	16012
1438	49878	15979
1439	49916	15945
1440	49953	15911
1441	49990	15877
1442	50028	15844
1443	50065	15810
1444	50101	15775
1445	50140	15742
1446	50176	15708
1447	50213	15674
1448	50251	15640
1449	50289	15607
1450	50329	15574
1451	50370	15541
1452	50409	15507
1453	50447	15474
1454	50483	15440
1455	50522	15406
1456	50561	15373
1457	50598	15339
1458	50639	15306
1459	50690	15276
1460	50730	15243
1461	50766	15208
1462	50802	15174
1463	50843	15141
1464	50891	15111
1465	50929	15077
1466	50965	15043
1467	51005	15009
1468	51043	14975
1469	51082	14942
1470	51124	14909
1471	51163	14876
1472	51200	14842
1473	51232	14806
1474	51264	14771
1475	51296	14735
1476	51329	14700
1477	51360	14664
1478	51429	14639
1479	51475	14607
1480	51512	14573
1481	51545	14538
1482	51579	14503
1483	51619	14470
1484	51667	14438
1485	51710	14406
1486	51749	14372
1487	51787	14339
1488	51822	14304
1489	51860	14270
1490	51901	14237
1491	51936	14202
1492	52026	14182
1493	52119	14163
1494	52170	14133
1495	52211	14099
1496	52252	14066
1497	52289	14032
1498	52326	13998
1499	52364	13963
1500	52403	13930
1501	52441	13896
1502	52478	13861
1503	52515	13827
1504	52554	13793
1505	52594	13759
1506	52632	13725
1507	52673	13692
1508	52715	13659
1509	52751	13624
1510	52789	13590
1511	52828	13556
1512	52866	13522
1513	52904	13488
1514	52943	13454
1515	52981	13420
1516	53017	13385
1517	53053	13350
1518	53092	13316
1519	53130	13282
1520	53169	13248
1521	53222	13218
1522	53262	13184
1523	53299	13149
1524	53338	13116
1525	53374	13081
1526	53414	13047
1527	53453	13013
1528	53491	12979
1529	53528	12944
1530	53565	12910
1531	53602	12875
1532	53637	12840
1533	53671	12805
1534	53707	12770
1535	53740	12735
1536	53775	12700
1537	53808	12665
1538	53841	12629
1539	53876	12594
1540	53910	12559
1541	53943	12523
1542	53976	12488
1543	54008	12452
1544	54040	12416
1545	54072	12381
1546	54105	12346
1547	54138	12310
1548	54172	12275
1549	54206	12240
1550	54238	12204
1551	54271	12169
1552	54305	12133
1553	54341	12099
1554	54377	12064
1555	54410	12029
1556	54445	11994
1557	54478	11958
1558	54510	11923
1559	54543	11887
1560	54576	11852
1561	54610	11817
1562	54643	11781
1563	54678	11746
1564	54711	11711
1565	54744	11676
1566	54777	11640
1567	54811	11605
1568	54849	11571
1569	54893	11538
1570	54936	11504
1571	54981	11471
1572	55028	11439
1573	55073	11406
1574	55122	11374
1575	55174	11342
1576	55225	11311
1577	55276	11279
1578	55326	11247
1579	55372	11214
1580	55416	11181
1581	55456	11147
1582	55494	11112
1583	55530	11078
1584	55566	11043
1585	55602	11008
1586	55637	10973
1587	55671	10938
1588	55707	10903
1589	55741	10867
1590	55776	10832
1591	55808	10797
1592	55839	10761
1593	55871	10725
1594	55902	10689
1595	55933	10654
1596	55972	10619
1597	56008	10584
1598	56041	10549
1599	56074	10513
1600	56106	10478
1601	56139	10442
1602	56174	10407
1603	56205	10372
1604	56237	10336
1605	56272	10301
1606	56307	10266
1607	56343	10231
1608	56379	10196
1609	56414	10161
1610	56446	10126
1611	56483	10091
1612	56518	10056
1613	56553	10021
1614	56586	9985
1615	56619	9950
1616	56652	9915
1617	56688	9880
1618	56723	9845
1619	56758	9810
1620	56799	9776
1621	56837	9741
1622	56873	9706
1623	56908	9671
1624	56946	9637
1625	56982	9602
1626	57021	9567
1627	57057	9533
1628	57099	9499
1629	57135	9464
1630	57175	9429
1631	57215	9395
1632	57253	9361
1633	57293	9326
1634	57334	9292
1635	57371	9257
1636	57409	9223
1637	57446	9188
1638	57486	9154
1639	57523	9119
1640	57565	9085
1641	57619	9053
1642	57660	9019
1643	57701	8985
1644	57741	8950
1645	57784	8916
1646	57828	8883
1647	57872	8849
1648	57916	8815
1649	57957	8781
1650	57996	8746
1651	58035	8712
1652	58080	8678
1653	58126	8645
1654	58164	8610
1655	58201	8575
1656	58235	8540
1657	58271	8505
1658	58306	8470
1659	58339	8434
1660	58374	8399
1661	58409	8364
